train_acc,val_acc,train_loss,val_loss
0.6387035682004045,0.6356749311294766,1.0444178326943798,1.041130287259735
0.6471398441871475,0.6422176308539945,1.0299973205236708,1.0295175977318083
0.6510997288339861,0.6442837465564738,1.0144003228283738,1.0216578686861295
0.660870313777816,0.6425619834710744,0.9923539632710958,1.0151175579092062
0.6597512159428399,0.6511707988980716,0.9897535872747776,1.008853477387389
0.6666810140748074,0.6511707988980716,0.978913927470258,1.0018858569712679
0.6675418585632505,0.6566804407713499,0.9663067574969604,0.9973127511907215
0.6719321654543107,0.6546143250688705,0.9611449386333314,0.9934623960621101
0.6716308698833555,0.6597796143250689,0.9543346310946675,0.9889266985178651
0.6768389790384367,0.6604683195592287,0.9524340797670278,0.9839775637818434
0.6749020789394395,0.6639118457300276,0.9418092408387736,0.984806820052386
0.6810571170318082,0.665633608815427,0.936862864281078,0.9769184776574127
0.6856626350449792,0.671831955922865,0.9285860065750334,0.9733964178516188
0.6801101880945207,0.6659779614325069,0.9341267946691779,0.9714290409377127
0.6858348039426677,0.6690771349862259,0.9181942506904357,0.970388451062615
0.6866526062066888,0.6676997245179064,0.9133752901606547,0.9688314005691486
0.6883312529591529,0.6680440771349863,0.9104039265224568,0.9645228504149381
0.6891490552231739,0.6701101928374655,0.903168586622918,0.9664692092204553
0.6953040933155425,0.6732093663911846,0.9017163899661865,0.9637624870975484
0.6945723755003659,0.6769972451790633,0.8951971530811687,0.9634722357939097
0.6975422889854948,0.6742424242424243,0.8894201185178578,0.9602204277167307
0.7032669048336417,0.6787190082644629,0.8838338806365138,0.9569798307313735
0.7016743425300219,0.6780303030303031,0.882270437848197,0.9580371182812147
0.7021908492230878,0.6759641873278237,0.8782601451122596,0.9543085998083277
0.702492144794043,0.6763085399449036,0.8726315332311823,0.9583909580530214
0.7027073559161537,0.6790633608815427,0.8692388320684443,0.9511205368462344
0.7064520294408815,0.6759641873278237,0.8698533768753001,0.9562046022126169
0.7084750139887229,0.6773415977961432,0.8638823282260457,0.9585877909804835
0.709852365170232,0.6797520661157025,0.8594626571720294,0.9517270382442422
0.7068824516851031,0.6797520661157025,0.8610377969504973,0.9507122844375526
0.7137692075926484,0.6773415977961432,0.8453881438557467,0.9523554646279201
0.7111005896784746,0.681473829201102,0.8473516184776817,0.9464322420519574
0.7083458873154564,0.6800964187327824,0.850960502169697,0.9468760731791662
0.7161365299358671,0.678374655647383,0.8385382000313139,0.9525024661019486
0.7188051478500409,0.6800964187327824,0.835902259613866,0.9456931464271441
